period,region,indicator,label,value_pct,pct_reported
2025-Wk03-15,Central Ethiopia,CONTINGENCY,Districts with contingency stocks (3-6 months),0,100
2025-Wk03-15,Central Ethiopia,PHEM_OFFICER,Health facilities with PHEM officer,100,100
2025-Wk03-15,Central Ethiopia,DHIS2_RPT,Districts reporting weekly via DHIS2,100,100
2025-Wk03-15,Central Ethiopia,COORD_PLATFORM,Districts with functional coordination platform / RRT,100,100
2025-Wk03-15,Dire Dawa,EBS_PPV,Confirmed outbreaks among suspected events (EBS sensitivity),NA,100
2025-Wk03-15,Dire Dawa,EBS_DETECT,Outbreaks detected through event-based surveillance,0,100
2025-Wk03-15,Dire Dawa,DETECT_7D,Outbreaks detected within 7 days,100,100
2025-Wk03-15,Dire Dawa,RPT_TIMELY,Surveillance reports submitted on time (timeliness),97.14285714285714,100
2025-Wk03-15,Dire Dawa,RPT_COMPLETE,Surveillance reports submitted completely (completeness),99.04761904761904,100
2025-Wk03-15,Dire Dawa,CB_ELIM,Case-based reporting: elimination/eradication diseases,94.34276206322797,100
2025-Wk03-15,Dire Dawa,CB_EVENTS,Case-based reporting: selected events/conditions,100,100
2025-Wk03-15,Dire Dawa,NOTIFY_24H,Suspected outbreaks notified within 24 hours,100,100
2025-Wk03-15,Dire Dawa,NOTIFY_30M,Immediately reportable events notified within 30 minutes,100,100
2025-Wk03-15,Dire Dawa,LINEGRAPH,Current line graph available for priority diseases,NA,0
2025-Wk03-15,Dire Dawa,OBR_ANALYZED,Outbreak reports with analyzed case-based data,NA,100
2025-Wk03-15,Dire Dawa,LAB_7D,Outbreaks with laboratory results within 7 days,NA,0
2025-Wk03-15,Dire Dawa,RESP_2448,Confirmed outbreaks with response within 24-48 hours,NA,100
2025-Wk03-15,Dire Dawa,EPI_DETECT_REG,Epidemics detected at regional level from district data,0,94.4
2025-Wk03-15,Dire Dawa,EPRP_PLAN,Districts with EPRP (preparedness & response) plans,100,94.4
